product_gap,mention_count,total_views,average_views,total_likes,total_comments,engagement_rate
skincare,5134,2317678636,451437,63691796,655052,2.78
foundation,2423,1391180780,574156,50949779,788540,3.72
lipstick,2714,1743171064,642288,60840194,784517,3.54
moisturizer,524,278248050,531007,8205901,216694,3.03
serum,1479,497929905,336666,14702852,180633,2.99
cleanser,177,17027073,96198,489640,16558,2.97
toner,358,37804330,105598,1398115,37095,3.8
sunscreen,486,141609011,291376,4859241,42677,3.46
primer,825,423658950,513526,13731402,295715,3.31
concealer,1611,1081516611,671332,43618528,668131,4.09
blush,2492,1311781823,526397,51635588,580924,3.98
eyeshadow,1419,1004577852,707947,39095455,602408,3.95
mascara,1212,902303826,744475,36518026,556442,4.11
eyeliner,1244,848043632,681707,34638761,449921,4.14
