Product_Name,Brand,Category,Rating,Number_of_Reviews,Price_USD
Ultra Lipstick,Laura Mercier,Makeup Remover,4.2,5483,116.43
Ultra Cleanser,Bourjois,Lip Gloss,4.3,8032,21.43
Perfect Bronzer,Fenty Beauty,Face Mask,4.4,4127,133.57
Ultra Moisturizer,Sisley,Powder,4.0,8876,104.91
Divine CC Cream,Juvia’s Place,Eye Shadow,4.7,7196,101.88
Divine Exfoliator,Huda Beauty,Lipstick,4.9,4167,26.21
Perfect Highlighter,Kiehl’s,Cleanser,4.0,4860,131.95
Divine Cleanser,Fenty Beauty,Face Mask,4.6,9425,119.26
Divine Setting Spray,Pat McGrath Labs,Highlighter,4.9,1098,105.54
Magic BB Cream,Juvia’s Place,Highlighter,4.6,5398,46.66
Divine Eyeliner,Fenty Beauty,Eye Shadow,4.6,4884,74.51
Perfect Eyeliner,Patrick Ta,Bronzer,4.0,5148,135.46
Ultra Moisturizer,Hourglass,Contour,4.7,3975,79.42
Magic CC Cream,Urban Decay,Contour,4.9,2705,111.62
Super Blush,Yves Saint Laurent,Face Mask,4.2,2973,110.51
Magic Contour,Kylie Cosmetics,Powder,4.9,5290,107.38
Super BB Cream,Bobby Brown,Foundation,4.0,8824,22.93
Magic Setting Spray,Farsali,Lip Liner,4.5,7547,103.44
Super Bronzer,Anastasia Beverly Hills,Cleanser,4.8,2308,143.23
Perfect BB Cream,Fenty Beauty,Cleanser,4.2,7546,86.04
Divine Concealer,Perricone MD,Primer,4.6,8534,114.25
Divine Exfoliator,Clinique,Makeup Remover,4.8,8962,76.5
Super Lipstick,Shiseido,Concealer,4.9,6165,42.77
Divine Setting Spray,Bobby Brown,Blush,4.8,9525,126.69
Magic Highlighter,IT Cosmetics,Lip Liner,4.9,9617,141.34
Ultra Eye Shadow,NARS,Foundation,4.6,5489,136.12
Divine Lip Gloss,Rare Beauty,Face Oil,4.3,6185,149.9
Divine Cleanser,KVD Beauty,BB Cream,4.3,108,41.47
Magic Serum,Morphe,Powder,4.2,2493,63.46
Divine Serum,Charlotte Tilbury,Moisturizer,4.4,8170,26.05
Divine Highlighter,Farsali,Moisturizer,4.4,9166,119.67
Ultra Powder,IT Cosmetics,Exfoliator,4.6,6584,69.14
Perfect Cleanser,Juvia’s Place,Moisturizer,4.9,3436,86.18
Magic Eyeliner,Shiseido,CC Cream,4.4,6158,149.16
Super Lip Gloss,Patrick Ta,Bronzer,4.8,3968,83.63
Ultra Highlighter,Shiseido,Primer,4.0,5749,71.25
Ultra Lipstick,NARS,Powder,4.8,1574,73.09
Super Setting Spray,Farsali,Exfoliator,4.3,7285,45.01
Perfect Setting Spray,Sisley,Face Mask,4.9,4328,62.17
Divine Setting Spray,Bite Beauty,Serum,4.5,8829,46.21
Magic Powder,Becca,Concealer,4.0,5921,108.74
Ultra Primer,Becca,Foundation,4.0,6745,64.4
Super Eye Shadow,Patrick Ta,Mascara,4.8,5322,23.43
Divine Primer,Kiehl’s,Serum,4.6,9311,102.88
Perfect Concealer,Becca,Powder,4.2,451,142.44
Perfect Lip Liner,Laura Mercier,Concealer,4.6,3914,39.89
Super Eyeliner,KVD Beauty,Face Mask,4.7,7668,112.59
Perfect Eye Shadow,Glossier,BB Cream,4.3,442,33.77
Perfect Lip Liner,Charlotte Tilbury,Face Oil,4.5,2448,147.41
Super Concealer,Milk Makeup,Concealer,4.8,2964,129.35
Magic Face Oil,Laura Mercier,Face Oil,4.9,7641,108.45
Super Face Oil,Kiehl’s,Lip Gloss,4.3,461,21.42
Perfect Lip Liner,Hourglass,Setting Spray,4.0,3838,51.03
Super Mascara,Hourglass,Lip Gloss,4.0,2192,95.4
Divine Cleanser,Tarte,Bronzer,4.2,3820,58.92
Super Highlighter,Pat McGrath Labs,Exfoliator,4.9,7666,54.65
Ultra Mascara,Tatcha,Bronzer,4.5,6379,104.9
Super Face Mask,Charlotte Tilbury,Cleanser,4.6,8613,85.83
Perfect Powder,Shiseido,Highlighter,4.1,6406,47.15
Divine Bronzer,Farsali,Foundation,5.0,9904,103.0
Divine Lip Gloss,Kylie Cosmetics,Foundation,4.7,5283,134.96
Magic Bronzer,Bobby Brown,Moisturizer,4.9,7779,40.31
Magic Mascara,Farsali,Lipstick,4.0,6269,31.57
Super Lip Liner,Becca,CC Cream,4.7,766,145.28
Divine BB Cream,Shiseido,Primer,4.3,6736,86.62
Super Face Oil,Hourglass,Powder,4.6,9835,107.2
Super Contour,Kylie Cosmetics,Concealer,4.4,3865,107.24
Divine BB Cream,Clinique,Lip Liner,4.3,9804,57.84
Divine Lipstick,NARS,Cleanser,4.5,7625,79.2
Divine Primer,Kylie Cosmetics,Face Oil,4.5,4038,91.97
Magic Powder,Juvia’s Place,Concealer,4.2,6529,101.28
Magic Exfoliator,Kylie Cosmetics,Foundation,4.4,1242,33.72
Ultra Eyeliner,Fenty Beauty,Eye Shadow,4.6,3254,57.37
Divine Primer,IT Cosmetics,Face Oil,4.7,1433,141.54
Ultra Moisturizer,RMS Beauty,Lip Gloss,4.0,7505,22.41
Perfect Concealer,Farsali,Eyeliner,4.0,774,116.87
Magic Cleanser,Juvia’s Place,Lipstick,4.3,6990,77.73
Super Serum,Huda Beauty,Lipstick,4.6,4266,79.14
Divine Foundation,Bite Beauty,Bronzer,4.4,5787,32.99
Ultra CC Cream,Anastasia Beverly Hills,BB Cream,4.5,2812,119.6
Perfect Eye Shadow,Glossier,Setting Spray,4.8,6741,103.69
Ultra Blush,Huda Beauty,Moisturizer,4.1,7991,44.62
Divine Primer,Becca,Eyeliner,4.7,1645,136.24
Divine Bronzer,Juvia’s Place,Setting Spray,4.6,5068,38.4
Super Lip Liner,Kiehl’s,Cleanser,4.8,999,108.54
Perfect BB Cream,Sisley,Eye Shadow,4.6,2351,142.43
Ultra Serum,Perricone MD,Setting Spray,4.2,3562,109.25
Divine Concealer,Milk Makeup,Foundation,4.7,6350,132.63
Divine Highlighter,E.l.f.,Concealer,4.8,3220,102.31
Perfect Eyeliner,Rare Beauty,Powder,4.8,6744,32.02
Divine Face Mask,Becca,Setting Spray,4.0,5919,20.84
Magic Serum,ColourPop,Highlighter,4.4,3308,96.46
Ultra BB Cream,Tatcha,Face Mask,4.2,5702,126.39
Ultra Concealer,Becca,Highlighter,4.5,8426,107.98
Ultra Lip Liner,Too Faced,Moisturizer,4.7,1095,82.61
Divine Cleanser,Becca,Face Mask,4.5,6366,63.63
Perfect Setting Spray,Kylie Cosmetics,Mascara,4.4,1836,24.25
Magic Face Mask,Make Up For Ever,Cleanser,4.8,1078,62.29
Super Primer,Fenty Beauty,Lip Gloss,4.7,2896,76.67
Perfect Makeup Remover,Shiseido,Face Mask,4.1,147,90.85
Super Exfoliator,Bobby Brown,Primer,4.9,499,11.82
Divine CC Cream,Laura Mercier,Face Oil,4.9,2341,63.73
Super Bronzer,Huda Beauty,Cleanser,4.2,418,139.34
Divine CC Cream,Tatcha,Powder,4.8,9836,55.35
Ultra Highlighter,Fenty Beauty,Face Mask,4.1,4265,59.29
Magic Blush,Pat McGrath Labs,Setting Spray,4.2,9533,80.95
Ultra Face Mask,KVD Beauty,Face Oil,4.5,5291,76.2
Ultra Bronzer,Ilia Beauty,Serum,5.0,4094,28.05
Divine Face Mask,Drunk Elephant,Eye Shadow,4.0,3641,99.03
Magic Highlighter,Morphe,Foundation,4.1,7622,94.77
Divine Exfoliator,Shiseido,Moisturizer,4.8,2770,148.52
Divine Serum,Glossier,Exfoliator,4.9,544,109.66
Divine Powder,Laura Mercier,Primer,4.8,995,78.59
Magic Face Mask,Hourglass,Blush,4.4,4565,138.62
Divine Eye Shadow,Bobby Brown,Serum,4.9,5728,82.74
Perfect Face Mask,Glossier,Lip Liner,4.3,5517,118.9
Divine Face Mask,ColourPop,Makeup Remover,4.0,6157,38.76
Perfect Foundation,Ilia Beauty,Concealer,4.7,610,29.81
Ultra Foundation,ColourPop,Face Mask,4.7,448,119.2
Ultra Concealer,ColourPop,Serum,4.0,4562,39.31
Magic Cleanser,Hourglass,Bronzer,4.3,361,39.28
Perfect Serum,Sisley,Face Mask,4.4,6314,57.84
Magic Setting Spray,ColourPop,Serum,4.7,6177,54.67
Super Exfoliator,Milk Makeup,Powder,4.9,5080,29.58
Magic Contour,RMS Beauty,Eye Shadow,4.2,806,97.14
Magic Bronzer,NARS,Face Oil,4.4,2675,22.97
Magic CC Cream,Juvia’s Place,Bronzer,4.2,4343,50.64
Divine Exfoliator,Danessa Myricks,Moisturizer,4.7,9426,113.92
Magic Makeup Remover,Sisley,Primer,4.7,1052,43.92
Perfect Contour,Anastasia Beverly Hills,Mascara,4.4,3157,36.18
Super Eyeliner,Milk Makeup,Serum,4.0,8488,122.09
Magic Mascara,Natasha Denona,Mascara,4.3,6993,50.63
Super Lipstick,E.l.f.,Concealer,4.2,4781,82.2
Perfect Lipstick,Juvia’s Place,Lip Gloss,4.7,2795,143.88
Ultra CC Cream,Sisley,Face Mask,4.1,809,32.77
Perfect CC Cream,Shiseido,Primer,4.3,2859,76.7
Magic Powder,Huda Beauty,Contour,4.0,3848,43.8
Ultra Makeup Remover,Natasha Denona,Lip Gloss,4.4,618,33.61
Divine Setting Spray,Make Up For Ever,Face Mask,4.4,3095,120.06
Perfect Setting Spray,Glossier,Bronzer,4.5,6809,144.32
Magic Serum,Make Up For Ever,Primer,4.1,2934,29.33
Super Setting Spray,Morphe,Serum,4.3,1290,64.96
Ultra Moisturizer,Too Faced,Setting Spray,4.0,145,116.87
Divine Setting Spray,Farsali,Bronzer,4.2,419,16.56
Divine Eyeliner,ColourPop,Serum,4.7,3712,45.13
Super Eyeliner,Make Up For Ever,Highlighter,4.1,6890,55.35
Ultra Cleanser,Make Up For Ever,Contour,4.0,4351,94.89
Super Foundation,Tatcha,Exfoliator,4.5,3534,59.44
Divine Moisturizer,Patrick Ta,CC Cream,4.6,6553,114.8
Magic Blush,Clinique,Setting Spray,4.1,5339,134.79
Perfect Setting Spray,Glossier,Serum,4.0,2352,120.12
Divine Primer,Urban Decay,Powder,4.3,241,95.49
Divine Moisturizer,Shiseido,Blush,4.8,2933,94.46
Perfect Lip Liner,Fenty Beauty,Contour,4.2,3603,37.31
Magic Lipstick,Drunk Elephant,Face Mask,4.5,3371,126.4
Super Concealer,Huda Beauty,Exfoliator,4.9,2445,118.99
